sessionid,tt_s,distance_m,slope_pct,speed_kmph,power_w,heartrate_bpm,frequency_ppm,cycle,thrust_left_ms,thrust_right_ms,impulse_left_ns,impulse_right_ns,force_meanl_n,force_meanr_n,f_tot_mean_n,treadmill_force_n,altitude_m,latitude_deg,longitude_deg,usernote = BIA24-20NR,Sport,ns1:Id,StartTime,ns1:TotalTimeSeconds,ns1:DistanceMeters,ns1:MaximumSpeed,ns1:Calories,ns1:Value,ns1:Value2,ns1:Intensity,ns1:TriggerMethod,ns1:Time,ns1:AltitudeMeters,ns1:DistanceMeters3,ns1:Value4,ns2:Speed,ns2:RunCadence,ns2:Watts,ns1:LatitudeDegrees,ns1:LongitudeDegrees,ns2:AvgSpeed,ns2:AvgRunCadence,ns2:MaxRunCadence,ns2:AvgWatts,ns2:MaxWatts,ns1:Name,ns1:UnitId,ns1:ProductID,ns1:VersionMajor,ns1:VersionMinor,ns1:BuildMajor,ns1:BuildMinor,ns1:Name5,ns1:VersionMajor6,ns1:VersionMinor7,ns1:BuildMajor8,ns1:BuildMinor9,ns1:LangID,ns1:PartNumber,Unnamed: 39,Unnamed: 40,Unnamed: 41,RowColor,Lap,Gear,Gear2
2466,18/09/2024 08:08,321.45,0,23.2,168,0,60,42,180,190,21,16.7,20,23,43,0,365,63.19200687,14.66136309,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,363,6170.629883,162,7.165999889,42,599,63.19170194,14.66103469,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2466,18/09/2024 08:08,329.07,0,24.2,173,0,64,42,170,200,16.4,28.9,20,24,44,0,365,63.19207166,14.66141213,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,363,6177.470215,162,7.165999889,42,611,63.19175608,14.66109219,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,4,4
2466,18/09/2024 08:08,334.92,0,21.9,171,0,60,44,210,200,23.2,18.5,21,25,46,0,365,63.19211433,14.66148052,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,363,6184.509766,161,7.165999889,41,605,63.191814,14.66115497,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,340.72,0,22.8,175,0,64,44,160,190,15.5,25.7,21,25,46,0,364,63.19215791,14.66154381,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,363.2000122,6191.330078,161,6.802000046,39,563,63.19187008,14.66121532,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,347.06,0,21.8,175,0,62,46,190,200,23.2,21.1,22,25,47,0,364,63.19220267,14.66162201,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,363.2000122,6198.319824,162,6.671000004,31,463,63.19192532,14.66128238,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,353.39,0,23.3,175,0,62,46,170,210,15.6,28.8,22,25,47,0,364,63.19225221,14.66168462,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,363.2000122,6205.350098,162,6.531000137,30,442,63.19197955,14.6613387,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,359.85,0,23.2,174,0,60,48,200,190,26.1,17.8,22,24,46,0,364,63.19229856,14.66176224,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,363.2000122,6212.040039,163,6.531000137,31,452,63.19203487,14.66139964,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,366.72,0,23.2,174,0,61,48,160,200,17.4,27,22,23,45,0,364,63.19234625,14.66184941,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,363.2000122,6219.240234,162,6.578000069,31,455,63.19209287,14.6614589,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,372.96,0,21.4,164,0,61,50,180,190,23.4,16.8,22,24,46,0,364,63.19238406,14.66194111,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,363.2000122,6226.200195,162,7.193999767,31,566,63.19214718,14.66152159,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
2466,18/09/2024 08:08,379.2,0,21.4,164,0,64,50,120,210,12.1,28.1,22,24,46,0,364,63.19241733,14.66204136,,Running,2024-09-18T07:30:35.000Z,2024-09-18T08:08:26.000Z,204.004,1000,8.118000031,40,169,177,Active,Manual,18/09/2024 08:08,363.3999939,6232.609863,163,7.277999878,31,577,63.19219898,14.66157876,4.90199995,37,92,513,814,Forerunner 955,3474075110,4024,17,28,0,0,Connect Api,0,0,0,0,en,006-D2449-00,,,,FFFFFF,1,3,3
